	txHash	timeStamp	direction	tokenSymbol	value	bscContractAddress	epoch	bscSymbol	name	ethSymbol	contract_type	ethContractAddress
162	0x8521d8095b60e62da195aba25aa36833134c1ee5e9947d587578a713e2bc9180	2021-02-13 15:57:59	recvd	Cake-LP	2.781476793874782	0x73601076a92e0d1bd81737b38b150d6842aa1aa1	1613231879					
163	0x8521d8095b60e62da195aba25aa36833134c1ee5e9947d587578a713e2bc9180	2021-02-13 15:57:59	sent	mooMonsterMSS-BUSD	1.503077501968516	0x3b6c7bc3be5c60c875cf415a97e6539cc28eca32	1613231879					
164	0x160e8579123dc056ad0195e0f5fb70cf698ae0cb41c8085866fc4ae477610af9	2021-02-13 16:09:32	recvd	BUSD	92.58126998437515	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613232572	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
165	0x160e8579123dc056ad0195e0f5fb70cf698ae0cb41c8085866fc4ae477610af9	2021-02-13 16:09:32	recvd	MSS	0.89221802178695	0xacabd3f9b8f76ffd2724604185fa5afa5df25ac6	1613232572					
166	0x160e8579123dc056ad0195e0f5fb70cf698ae0cb41c8085866fc4ae477610af9	2021-02-13 16:09:32	sent	Cake-LP	2.781476793874782	0x73601076a92e0d1bd81737b38b150d6842aa1aa1	1613232572					
167	0xfc92f79adf70dc41e4d0f8d53b18d042250c436279532f11ae18a4f2324b7f05	2021-02-13 16:10:14	recvd	BUSD	92.36026033933916	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613232614	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
168	0xfc92f79adf70dc41e4d0f8d53b18d042250c436279532f11ae18a4f2324b7f05	2021-02-13 16:10:14	sent	MSS	0.89221802178695	0xacabd3f9b8f76ffd2724604185fa5afa5df25ac6	1613232614					
169	0x8aa6e4ddf45cd3f793d5b4368f01725a527bd4c90cf25133a2135832f519c729	2021-02-13 16:15:38	sent	BUSD	151.0	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613232938	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
170	0x72f89b8b0c864a6b8891cd47bac94e3b2f15655354f460a33ed5b35ec1c7fd6f	2021-02-13 16:42:38	sent	BUSD	31.682180433387472	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613234558	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
171	0x1f5d1accf5d99c41016a9f6c4f78b269b478a7e21b19f7407c5a74a175ccf0ed	2021-02-15 02:20:35	recvd	AUTO	0.4968595937252162	0xa184088a740c695e156f91f5cc086a06bb78b827	1613355635					
172	0xb933375b8f78e12b3f4dfca79d529a3a696d50672c03531d016c89156aa6bea0	2021-02-15 02:20:59	recvd	AUTO	0.3433829142645241	0xa184088a740c695e156f91f5cc086a06bb78b827	1613355659					
173	0xfb56604c42b205ebc20ad65791a3ab2f6cb213f8c9b8fe18d93c9e337b010328	2021-02-15 02:21:14	recvd	AUTO	0.3415417348168494	0xa184088a740c695e156f91f5cc086a06bb78b827	1613355674					
174	0x47130edf9c46b520fc85d5278460e6ce17a9f944704dcdf847639a6e33c2d06f	2021-02-15 03:34:34	recvd	BUSD	78.23375982397782	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613360074	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
175	0x47130edf9c46b520fc85d5278460e6ce17a9f944704dcdf847639a6e33c2d06f	2021-02-15 03:34:34	sent	AUTO	0.11817842428065897	0xa184088a740c695e156f91f5cc086a06bb78b827	1613360074					
